productName,orderType,productId,category,unit,price,priceLabel,stockStatus,enabled,note
Chicken Fillet,retail,r-chk-fillet,Chicken,kg,74.99,,in_stock,TRUE,Fresh 5kg bag; in stock; lean fillet for whatever you need
Chicken Wings,retail,r-chk-wings,Chicken,kg,79.99,,in_stock,TRUE,"Individually frozen in 5kg bags, not injected; in stock; great for platters or parties"
Chicken Thighs,retail,r-chk-thighs,Chicken,kg,59.99,,in_stock,TRUE,"Individually frozen in 5kg bags, not injected; in stock; great for roasting chicken"
Chicken Drumsticks,retail,r-chk-drums,Chicken,kg,74.99,,in_stock,TRUE,"Individually frozen in 5kg bags, not injected; in stock; great for roasting chicken"
Chicken Whole (Grilliers),retail,r-chk-whole,Chicken,kg,54.99,,in_stock,TRUE,"Fresh, 10 units in a box; specific size can be requested; on order"
Chicken Stew,retail,r-chk-stew,Chicken,kg,59.99,,in_stock,TRUE,Chicken fillet and thighs; made on order; great for stew
Chicken Fillet Pizza Pieces,retail,r-chk-fillet-pc,Chicken,kg,84.99,,in_stock,TRUE,"1kg bags, cut smaller than 1cm; made on order; perfect topping for pizzas"
Chicken Buffalo Wings,retail,r-chk-buff,Chicken,kg,74.99,,in_stock,TRUE,Any quantity; made on order; great for platters or parties
Chicken Buffalo Wings L&H,retail,r-chk-buff-lh,Chicken,kg,74.99,,in_stock,TRUE,Marinated lemon and herb buffalo wings; in stock
Chicken Buffalo Wings BBQ,retail,r-chk-buff-bbq,Chicken,kg,74.99,,in_stock,TRUE,Marinated tangy BBQ buffalo wings; in stock
Chicken Buffalo Wings Peri,retail,r-chk-buff-peri,Chicken,kg,74.99,,in_stock,TRUE,Marinated peri peri buffalo wings; in stock
Chicken Buffalo Wings S/C,retail,r-chk-buff-sc,Chicken,kg,74.99,,in_stock,TRUE,Marinated sweet chilli buffalo wings; in stock
Striploin (Karan),retail,r-beef-striploin,Beef,kg,179.99,,in_stock,TRUE,Fresh box; in stock; cut your own steaks
Topside A,retail,r-beef-topside,Beef,kg,159.99,,in_stock,TRUE,Fresh box; in stock; biltong or tenderize steak
Knuckle A,retail,r-beef-knuckle,Beef,kg,139.99,,in_stock,TRUE,"Fresh box; in stock; goulash, strips, mince or wors"
